"set_id","particle","R0","prop_funeral","hcw_risk_scalar","mn_offspring_genPop","mn_offspring_funeral","prob_hcw_cond_genPop_hospital","prob_hcw_cond_hcw_hospital"
78,124,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
79,77,1.64556011771658,0.30850417414015,2.68214171322843,1.15660205074385,0.97861074848453,0.670535428307108,0.670535428307108
80,610,1.53907897806288,0.212531316489333,2.296588384021,1.23189825440908,0.630549263152284,0.57414709600525,0.57414709600525
81,19,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
82,418,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
83,543,1.57119374540281,0.214917150731999,2.58292336056465,1.25379309458166,0.650932565970651,0.645730840141163,0.645730840141163
84,686,1.61004337761818,0.262821243074079,3.03710452884748,1.20639917266112,0.815705190468163,0.75927613221187,0.75927613221187
85,587,1.57279113521684,0.226481699984321,3.57973163980556,1.2365801974063,0.686656210970311,0.89493290995139,0.89493290995139
86,40,1.59703231366428,0.270061494525845,2.70494848214429,1.18489705365502,0.831402936542034,0.676237120536073,0.676237120536073
87,604,1.56339532138756,0.231196507822488,3.4125803714963,1.22170062861324,0.69676329080078,0.853145092874075,0.853145092874075
88,664,1.52703468451273,0.187517755697822,3.73038387555155,1.26108227749149,0.551983990641581,0.932595968887888,0.932595968887888
89,500,1.5979189876145,0.252744803038481,3.51120839808258,1.2136804140456,0.778524305131218,0.877802099520645,0.877802099520645
90,672,1.59419732002843,0.233188553612438,3.1095647586505,1.24254264732788,0.716612677928185,0.777391189662625,0.777391189662625
91,423,1.58927238615273,0.231217454222848,3.70919516436073,1.24188818173809,0.708360174932162,0.927298791090183,0.927298791090183
92,421,1.53907897806288,0.212531316489333,2.296588384021,1.23189825440908,0.630549263152284,0.57414709600525,0.57414709600525
93,140,1.62670373329961,0.268126552861923,3.5316148016612,1.21011068681201,0.840782128771994,0.8829037004153,0.8829037004153
94,526,1.60242989614374,0.263939323321778,3.66427640181972,1.19887332569932,0.815301650771959,0.91606910045493,0.91606910045493
95,628,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
96,271,1.56654510859299,0.217692694738828,3.60412042313585,1.24566405514129,0.657388260226315,0.901030105783962,0.901030105783962
97,577,1.5459921691313,0.191307502545309,3.09891645656964,1.27078285193762,0.570130763751091,0.77472911414241,0.77472911414241
98,451,1.56654510859299,0.217692694738828,3.60412042313585,1.24566405514129,0.657388260226315,0.901030105783962,0.901030105783962
99,457,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
100,127,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
