parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
p_unsafe_funeral_hosp,6,56,0.5555555555555556,198.33333333333334,0.017676658009213333,0.0175486025,0.004960121071090742,0.009287516795,0.026086977150000003
delay_hosp,1,57,0.5656565656565657,201.93939393939397,4.01076710315,3.9887151000000003,0.24714590658642274,3.652306435,4.458406210000001
p_hosp,2,57,0.5656565656565657,201.93939393939397,0.558699374705,0.5576279900000001,0.039478665402233916,0.4965793195,0.6235481785
p_ETU,3,57,0.5656565656565657,201.93939393939397,0.29507013517833336,0.28631070999999997,0.07334044547212416,0.1896103555,0.42662432800000005
latent_IPC,4,57,0.5656565656565657,201.93939393939397,0.24525059103766667,0.23223697,0.08941569579110631,0.12108679650000001,0.416629281
p_unsafe_funeral_comm,5,57,0.5656565656565657,201.93939393939397,0.45773214121806666,0.46683458,0.1441744624600258,0.18350479150000001,0.6790946285000001
p_unsafe_funeral_hosp,6,57,0.5656565656565657,201.93939393939397,0.017193075998691666,0.017109969000000003,0.004948504290293554,0.00883957873,0.025644020050000004
delay_hosp,1,58,0.5757575757575758,205.54545454545456,3.971221583266667,3.9506451499999997,0.24844643641252712,3.610207905,4.416362255
p_hosp,2,58,0.5757575757575758,205.54545454545456,0.569040991545,0.56803611,0.03799313586196385,0.5089395959999999,0.6311024344999999
p_ETU,3,58,0.5757575757575758,205.54545454545456,0.3117810595728333,0.30443671,0.07239211566665173,0.2062831825,0.4392293905
latent_IPC,4,58,0.5757575757575758,205.54545454545456,0.26083448060166664,0.249778995,0.08923242291868556,0.132399278,0.42977475100000007
p_unsafe_funeral_comm,5,58,0.5757575757575758,205.54545454545456,0.44537860284543335,0.45484555000000004,0.14084002976575274,0.1784235025,0.6611702875000001
p_unsafe_funeral_hosp,6,58,0.5757575757575758,205.54545454545456,0.01670122921291667,0.016660798,0.004927207314248011,0.008289497865,0.0251069523
delay_hosp,1,59,0.5858585858585859,209.15151515151516,3.9311047491833335,3.9128143,0.24955360461223988,3.5631864949999996,4.373993775000001
p_hosp,2,59,0.5858585858585859,209.15151515151516,0.5795930011483333,0.5788647899999999,0.036578673844022226,0.521768838,0.6399529785
p_ETU,3,59,0.5858585858585859,209.15151515151516,0.3294063366978333,0.32354896499999997,0.07179819090836233,0.2225434715,0.454095676
latent_IPC,4,59,0.5858585858585859,209.15151515151516,0.27787975756,0.270020935,0.08958829208372951,0.145214431,0.4425989240000001
p_unsafe_funeral_comm,5,59,0.5858585858585859,209.15151515151516,0.4329446560444167,0.442625395,0.1372057175098392,0.1742359135,0.6410774440000001
p_unsafe_funeral_hosp,6,59,0.5858585858585859,209.15151515151516,0.016201741243748666,0.0161921015,0.004896642259243711,0.00781768158,0.02454043745
delay_hosp,1,60,0.595959595959596,212.75757575757578,3.8904632331333335,3.8727859000000002,0.25045886685353214,3.51988063,4.338477500000001
p_hosp,2,60,0.595959595959596,212.75757575757578,0.59032290269,0.58965442,0.035276966047043626,0.534015924,0.6490110485
p_ETU,3,60,0.595959595959596,212.75757575757578,0.3478565967545,0.343162575,0.07172821688306467,0.2392182305,0.46977453249999995
latent_IPC,4,60,0.595959595959596,212.75757575757578,0.29634886131233334,0.291019305,0.09112947102168316,0.1569351465,0.46115698850000003
p_unsafe_funeral_comm,5,60,0.595959595959596,212.75757575757578,0.42044533935073336,0.43066507,0.13329751795175815,0.16961131100000001,0.621631507
