"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",34,9,"cov10_obv50",6,795.347293242874,6,0,795.347293242874,0.5,0.1
"DRC",34,10,"cov10_obv50",153,38114.5813415024,171,18,41499.3434679175,0.5,0.1
"DRC",35,1,"cov10_obv50",67,27577.9647436973,69,2,27980.7608327935,0.5,0.1
"DRC",36,1,"cov10_obv50",30,15999.3085080518,31,1,16412.9066377793,0.5,0.1
"DRC",37,1,"cov10_obv50",115,47986.1263464847,118,3,49422.233818244,0.5,0.1
"DRC",37,2,"cov10_obv50",184,69980.9493704086,195,11,73627.568190423,0.5,0.1
"DRC",37,3,"cov10_obv50",101,65512.4473947066,105,4,68696.754294061,0.5,0.1
"DRC",37,4,"cov10_obv50",33,5839.93036063083,34,1,6044.45950666371,0.5,0.1
"DRC",37,5,"cov10_obv50",116,89930.540574086,122,6,94765.5251789689,0.5,0.1
"DRC",37,6,"cov10_obv50",35,7594.93409820663,38,3,7983.5069337932,0.5,0.1
"DRC",37,7,"cov10_obv50",126,75419.9551804466,135,9,79113.3622932454,0.5,0.1
"DRC",37,8,"cov10_obv50",10,1378.49831150196,10,0,1378.49831150196,0.5,0.1
"DRC",37,9,"cov10_obv50",4,434.195287404405,4,0,434.195287404405,0.5,0.1
"DRC",37,10,"cov10_obv50",11,2348.22824838584,12,1,2414.85264159242,0.5,0.1
"DRC",38,1,"cov10_obv50",5,597.405016569463,5,0,597.405016569463,0.5,0.1
"DRC",38,2,"cov10_obv50",129,103474.70528832,135,6,107097.209458571,0.5,0.1
"DRC",38,3,"cov10_obv50",35,5984.6827302107,35,0,5984.6827302107,0.5,0.1
"DRC",38,4,"cov10_obv50",55,30310.0220202902,57,2,31715.88703814,0.5,0.1
"DRC",38,5,"cov10_obv50",55,30310.0220202902,57,2,31715.88703814,0.5,0.1
"DRC",38,6,"cov10_obv50",15,4199.33804443669,16,1,4584.43416432785,0.5,0.1
"DRC",38,7,"cov10_obv50",4,1394.77401517659,4,0,1394.77401517659,0.5,0.1
"DRC",38,8,"cov10_obv50",8,1011.29408095916,8,0,1011.29408095916,0.5,0.1
"DRC",38,9,"cov10_obv50",8,1011.29408095916,8,0,1011.29408095916,0.5,0.1
"DRC",38,10,"cov10_obv50",15,1687.34525357158,16,1,1917.09168190904,0.5,0.1
"DRC",39,1,"cov10_obv50",9,3193.75675521533,11,2,3386.42032222802,0.5,0.1
"DRC",40,1,"cov10_obv50",76,34225.6051417626,83,7,36477.2660439048,0.5,0.1
"DRC",41,1,"cov10_obv50",18,4472.71288731163,19,1,4584.46561170772,0.5,0.1
"DRC",41,2,"cov10_obv50",201,65588.7241111427,215,14,69199.3933879732,0.5,0.1
"DRC",41,3,"cov10_obv50",17,11175.9126351984,19,2,12031.4380965228,0.5,0.1
"DRC",41,4,"cov10_obv50",10,2579.43195685522,10,0,2579.43195685522,0.5,0.1
"DRC",41,5,"cov10_obv50",189,159636.216376728,198,9,167359.249086217,0.5,0.1
"DRC",41,6,"cov10_obv50",84,77031.7019559383,87,3,79951.9810980203,0.5,0.1
"DRC",41,7,"cov10_obv50",11,2037.25296080801,11,0,2037.25296080801,0.5,0.1
"DRC",41,8,"cov10_obv50",14,3767.39547861025,14,0,3931.12986378031,0.5,0.1
