"scenario","particle_id","rep","arm","period","n_hcw_deaths","n_pep_died","n_prevented","n_counterfactual","pct_averted","n_recip_counterfactual","pct_averted_recipients","dpc_mean","dpc_median","n_pep_recipients"
"DRC",7,4,"with_conflict_mid","early (day 0-200)",19,0,38,57,66.6666666666667,38,100,1.08762527149632,1,5
"DRC",7,4,"with_conflict_mid","late (day 201+)",1,1,1,2,50,2,50,3.22988950889629,3.22988950889629,1
"DRC",7,5,"with_conflict_mid","early (day 0-200)",32,2,28,60,46.6666666666667,30,93.3333333333333,1.18017159037424,1,4
"DRC",7,5,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",7,6,"with_conflict_mid","early (day 0-200)",23,5,21,44,47.7272727272727,26,80.7692307692308,1.20760516273428,1.03235545266642,7
"DRC",7,6,"with_conflict_mid","late (day 201+)",1,0,0,1,0,0,NA,NA,NA,0
"DRC",7,7,"with_conflict_mid","early (day 0-200)",9,1,22,31,70.9677419354839,23,95.6521739130435,1.05042222871247,1,3
"DRC",7,7,"with_conflict_mid","late (day 201+)",84,6,23,107,21.4953271028037,29,79.3103448275862,2.28689121460853,1.60236194864453,12
"DRC",7,8,"with_conflict_mid","early (day 0-200)",33,3,14,47,29.7872340425532,17,82.3529411764706,1.05038986325627,1.03825747733822,4
"DRC",7,8,"with_conflict_mid","late (day 201+)",7,0,2,9,22.2222222222222,2,100,NA,NA,0
"DRC",7,9,"with_conflict_mid","early (day 0-200)",7,0,13,20,65,13,100,1.19793346264815,1.19793346264815,1
"DRC",7,9,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",7,10,"with_conflict_mid","early (day 0-200)",9,1,11,20,55,12,91.6666666666667,1,1,1
"DRC",7,10,"with_conflict_mid","late (day 201+)",1,0,0,1,0,0,NA,NA,NA,0
"DRC",8,1,"with_conflict_mid","early (day 0-200)",15,3,19,34,55.8823529411765,22,86.3636363636364,1.30893590796759,1.09867241746351,4
"DRC",8,1,"with_conflict_mid","late (day 201+)",81,9,94,175,53.7142857142857,103,91.2621359223301,1.72996673560344,1.50505104365323,16
"DRC",9,1,"with_conflict_mid","early (day 0-200)",20,3,26,46,56.5217391304348,29,89.6551724137931,1.09343729832603,1.07488276646483,7
"DRC",9,1,"with_conflict_mid","late (day 201+)",19,0,7,26,26.9230769230769,7,100,NA,NA,0
"DRC",9,2,"with_conflict_mid","early (day 0-200)",27,3,31,58,53.448275862069,34,91.1764705882353,1.0604347267372,1,5
"DRC",9,2,"with_conflict_mid","late (day 201+)",1,0,2,3,66.6666666666667,2,100,4.06417015529537,4.06417015529537,1
"DRC",9,3,"with_conflict_mid","early (day 0-200)",12,2,30,42,71.4285714285714,32,93.75,1.07278118887703,1,6
"DRC",9,3,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,4,"with_conflict_mid","early (day 0-200)",4,0,0,4,0,0,NA,NA,NA,0
"DRC",9,4,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,5,"with_conflict_mid","early (day 0-200)",9,2,8,17,47.0588235294118,10,80,1.0296999823879,1,6
"DRC",9,5,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,6,"with_conflict_mid","early (day 0-200)",23,4,33,56,58.9285714285714,37,89.1891891891892,1.00960129872432,1,7
"DRC",9,6,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,7,"with_conflict_mid","early (day 0-200)",1,0,0,1,0,0,NA,NA,NA,0
"DRC",9,7,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,8,"with_conflict_mid","early (day 0-200)",1,1,4,5,80,5,80,1.06029516922013,1.06029516922013,2
"DRC",9,8,"with_conflict_mid","late (day 201+)",0,0,0,0,NA,0,NA,NA,NA,0
"DRC",9,9,"with_conflict_mid","early (day 0-200)",15,4,18,33,54.5454545454545,22,81.8181818181818,1.08010326982583,1.08173926932972,7
"DRC",9,9,"with_conflict_mid","late (day 201+)",10,0,15,25,60,15,100,1.41590847168493,1.41590847168493,2
"DRC",9,10,"with_conflict_mid","early (day 0-200)",11,2,16,27,59.2592592592593,18,88.8888888888889,1.31221343255843,1.01086543180286,6
"DRC",9,10,"with_conflict_mid","late (day 201+)",118,5,35,153,22.8758169934641,40,87.5,2.97758637937769,3.16557326671265,6
"DRC",10,1,"with_conflict_mid","early (day 0-200)",24,7,31,55,56.3636363636364,38,81.5789473684211,1.33774347869839,1.08130304376949,10
"DRC",10,1,"with_conflict_mid","late (day 201+)",47,4,39,86,45.3488372093023,43,90.6976744186046,2.75099951717965,2.29946205593034,8
"DRC",11,1,"with_conflict_mid","early (day 0-200)",11,2,18,29,62.0689655172414,20,90,1.12553342426289,1,3
"DRC",11,1,"with_conflict_mid","late (day 201+)",0,0,1,1,100,1,100,NA,NA,0
"DRC",11,2,"with_conflict_mid","early (day 0-200)",10,3,7,17,41.1764705882353,10,70,1,1,3
"DRC",11,2,"with_conflict_mid","late (day 201+)",3,2,2,5,40,4,50,3.71982252294479,3.71982252294479,2
