"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",17,2,"with_conflict_mid",234,61,26.0683760683761,2.35113093793086,2.77428695312134,1,3.55110641889673
"DRC",17,3,"with_conflict_mid",178,101,56.7415730337079,3.51211815190108,3.21238180105503,1,8.09469604815704
"DRC",17,4,"with_conflict_mid",10,8,80,1,1,1,1
"DRC",17,5,"with_conflict_mid",30,19,63.3333333333333,1.32167147803331,1.37768235210693,1,1.79509757236772
"DRC",17,6,"with_conflict_mid",73,20,27.3972602739726,4.42974180334674,4.42974180334674,1,7.85948360669348
"DRC",17,7,"with_conflict_mid",13,3,23.0769230769231,1.85344882108521,1.85344882108521,1.85344882108521,1.85344882108521
"DRC",17,8,"with_conflict_mid",340,93,27.3529411764706,5.70013010788353,4.97054482192765,1,9.8656981298099
"DRC",17,9,"with_conflict_mid",5,0,0,NA,NA,NA,NA
"DRC",17,10,"with_conflict_mid",5,0,0,NA,NA,NA,NA
"DRC",18,1,"with_conflict_mid",1,0,0,NA,NA,NA,NA
"DRC",18,2,"with_conflict_mid",118,63,53.3898305084746,2.40817255842656,1.86193097119374,1,9.74655876184453
"DRC",19,1,"with_conflict_mid",344,57,16.5697674418605,3.81713817011683,3.07049773685353,1,9.06626896383785
"DRC",19,2,"with_conflict_mid",70,35,50,2.64251633943607,1.63854450112808,1,7.75604771373743
"DRC",19,3,"with_conflict_mid",307,53,17.2638436482085,5.1905544042434,6.38852214986285,1,9.13488629677541
"DRC",19,4,"with_conflict_mid",438,189,43.1506849315069,3.51909948884054,2.77428695312134,1,9.98554514917489
"DRC",19,5,"with_conflict_mid",264,135,51.1363636363636,2.89753698093522,2.77428695312134,1,9.99671734123704
"DRC",19,6,"with_conflict_mid",89,40,44.9438202247191,1.07560708545285,1,1,1.37803542726425
"DRC",19,7,"with_conflict_mid",74,38,51.3513513513514,2.10892934570084,2.77428695312134,1,2.77428695312134
"DRC",19,8,"with_conflict_mid",27,12,44.4444444444444,1,1,1,1
"DRC",19,9,"with_conflict_mid",411,183,44.5255474452555,3.48440636121312,2.77428695312134,1,9.98399120735799
"DRC",20,1,"with_conflict_mid",376,85,22.6063829787234,3.84236741945068,1.78371817635065,1,9.89565829923071
