"scenario","particle_id","rep","eff_name","efficacy","doses_B","n_prevented_hcw"
"DRC",33,1,"obv_20",0.2,265,71
"DRC",33,2,"obv_20",0.2,230,54
"DRC",33,3,"obv_20",0.2,3,0
"DRC",33,4,"obv_20",0.2,291,54
"DRC",33,5,"obv_20",0.2,18,4
"DRC",33,6,"obv_20",0.2,175,45
"DRC",33,7,"obv_20",0.2,54,8
"DRC",33,8,"obv_20",0.2,299,61
"DRC",33,9,"obv_20",0.2,262,50
"DRC",33,10,"obv_20",0.2,21,5
"DRC",34,1,"obv_20",0.2,289,55
"DRC",34,2,"obv_20",0.2,318,55
"DRC",34,3,"obv_20",0.2,6,2
"DRC",34,4,"obv_20",0.2,85,14
"DRC",34,5,"obv_20",0.2,110,24
"DRC",34,6,"obv_20",0.2,165,34
"DRC",34,7,"obv_20",0.2,204,32
"DRC",34,8,"obv_20",0.2,204,32
"DRC",34,9,"obv_20",0.2,129,26
"DRC",34,10,"obv_20",0.2,114,22
"DRC",35,1,"obv_20",0.2,281,61
"DRC",35,2,"obv_20",0.2,10,2
"DRC",35,3,"obv_20",0.2,10,2
"DRC",35,4,"obv_20",0.2,37,10
"DRC",35,5,"obv_20",0.2,17,5
"DRC",35,6,"obv_20",0.2,14,2
"DRC",35,7,"obv_20",0.2,35,6
"DRC",35,8,"obv_20",0.2,35,6
"DRC",35,9,"obv_20",0.2,12,1
"DRC",35,10,"obv_20",0.2,2,0
"DRC",36,1,"obv_20",0.2,43,12
"DRC",36,2,"obv_20",0.2,19,6
"DRC",36,3,"obv_20",0.2,3,1
"DRC",36,4,"obv_20",0.2,3,1
"DRC",36,5,"obv_20",0.2,64,9
"DRC",36,6,"obv_20",0.2,54,9
"DRC",36,7,"obv_20",0.2,336,67
"DRC",36,8,"obv_20",0.2,338,81
"DRC",36,9,"obv_20",0.2,129,24
"DRC",36,10,"obv_20",0.2,24,6
"DRC",37,1,"obv_20",0.2,134,23
"DRC",37,2,"obv_20",0.2,196,46
"DRC",37,3,"obv_20",0.2,66,14
"DRC",37,4,"obv_20",0.2,2,0
"DRC",37,5,"obv_20",0.2,14,2
"DRC",37,6,"obv_20",0.2,70,13
"DRC",37,7,"obv_20",0.2,101,21
"DRC",37,8,"obv_20",0.2,51,10
"DRC",37,9,"obv_20",0.2,51,10
"DRC",37,10,"obv_20",0.2,304,65
"DRC",38,1,"obv_20",0.2,145,26
"DRC",38,2,"obv_20",0.2,113,12
"DRC",38,3,"obv_20",0.2,51,4
"DRC",38,4,"obv_20",0.2,281,51
"DRC",38,5,"obv_20",0.2,25,3
"DRC",38,6,"obv_20",0.2,8,0
"DRC",38,7,"obv_20",0.2,318,64
"DRC",38,8,"obv_20",0.2,66,17
"DRC",38,9,"obv_20",0.2,14,1
"DRC",38,10,"obv_20",0.2,8,1
"DRC",39,1,"obv_20",0.2,25,3
"DRC",39,2,"obv_20",0.2,36,8
"DRC",39,3,"obv_20",0.2,80,17
"DRC",39,4,"obv_20",0.2,81,16
"DRC",39,5,"obv_20",0.2,6,1
"DRC",39,6,"obv_20",0.2,215,40
"DRC",39,7,"obv_20",0.2,182,37
"DRC",39,8,"obv_20",0.2,89,26
"DRC",39,9,"obv_20",0.2,45,6
"DRC",39,10,"obv_20",0.2,8,2
"DRC",40,1,"obv_20",0.2,26,4
"DRC",40,2,"obv_20",0.2,30,4
"DRC",40,3,"obv_20",0.2,100,22
"DRC",40,4,"obv_20",0.2,100,22
"DRC",40,5,"obv_20",0.2,121,28
"DRC",40,6,"obv_20",0.2,148,29
"DRC",40,7,"obv_20",0.2,24,6
"DRC",40,8,"obv_20",0.2,320,70
"DRC",40,9,"obv_20",0.2,44,8
"DRC",40,10,"obv_20",0.2,9,4
"DRC",41,1,"obv_20",0.2,343,71
"DRC",41,2,"obv_20",0.2,25,11
"DRC",41,3,"obv_20",0.2,227,45
"DRC",41,4,"obv_20",0.2,64,10
"DRC",41,5,"obv_20",0.2,212,47
"DRC",41,6,"obv_20",0.2,435,86
"DRC",41,7,"obv_20",0.2,386,67
"DRC",41,8,"obv_20",0.2,3,2
"DRC",41,9,"obv_20",0.2,60,12
"DRC",41,10,"obv_20",0.2,121,16
"DRC",42,1,"obv_20",0.2,5,1
"DRC",42,2,"obv_20",0.2,189,43
"DRC",42,3,"obv_20",0.2,98,25
"DRC",42,4,"obv_20",0.2,10,2
"DRC",42,5,"obv_20",0.2,271,66
"DRC",42,6,"obv_20",0.2,289,51
"DRC",42,7,"obv_20",0.2,297,70
"DRC",42,8,"obv_20",0.2,266,54
"DRC",42,9,"obv_20",0.2,240,46
"DRC",42,10,"obv_20",0.2,325,68
"DRC",43,1,"obv_20",0.2,22,8
"DRC",43,2,"obv_20",0.2,292,63
"DRC",43,3,"obv_20",0.2,106,20
"DRC",43,4,"obv_20",0.2,330,65
"DRC",43,5,"obv_20",0.2,44,11
"DRC",43,6,"obv_20",0.2,10,2
"DRC",43,7,"obv_20",0.2,21,4
"DRC",43,8,"obv_20",0.2,89,16
"DRC",43,9,"obv_20",0.2,200,30
"DRC",43,10,"obv_20",0.2,12,3
"DRC",44,1,"obv_20",0.2,10,1
"DRC",44,2,"obv_20",0.2,384,80
"DRC",44,3,"obv_20",0.2,88,21
"DRC",44,4,"obv_20",0.2,85,19
"DRC",44,5,"obv_20",0.2,217,44
"DRC",44,6,"obv_20",0.2,40,10
"DRC",44,7,"obv_20",0.2,318,59
"DRC",44,8,"obv_20",0.2,64,9
"DRC",44,9,"obv_20",0.2,77,25
"DRC",44,10,"obv_20",0.2,369,84
