"scenario","policy","dpc","supply_ratio","pct_averted_med","pct_averted_lo","pct_averted_hi"
"DRC","B",0,3.05,82.3423366503537,79.7782549244941,82.3423366503537
"DRC","B",0,3.1,82.3423366503537,80.174212747135,82.3423366503537
"DRC","B",0,3.15,82.3423366503537,80.5085879335388,82.3423366503537
"DRC","B",0,3.2,82.3423366503537,80.8429631199425,82.3423366503537
"DRC","B",0,3.25,82.3423366503537,81.2176175120648,82.3423366503537
"DRC","B",0,3.3,82.3423366503537,81.4812800023578,82.3423366503537
"DRC","B",0,3.35,82.3423366503537,81.6233950938906,82.3423366503537
"DRC","B",0,3.4,82.3423366503537,81.7839196795445,82.3423366503537
"DRC","B",0,3.45,82.3423366503537,82.0417059378613,82.3423366503537
"DRC","B",0,3.5,82.3423366503537,82.1728728612101,82.3423366503537
"DRC","B",5,0,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.05,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.1,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.15,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.2,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.25,17.4406260846605,13.9766960222504,22.2372893821972
"DRC","B",5,0.3,17.4406260846605,14.5364179850582,22.2372893821972
"DRC","B",5,0.35,17.4633344464718,15.5499710171273,22.2372893821972
"DRC","B",5,0.4,18.3169329112019,16.3866537949992,22.2372893821972
"DRC","B",5,0.45,19.6303610597653,17.6122248785785,22.2372893821972
"DRC","B",5,0.5,20.6763876270515,18.639292400977,23.4564686173811
"DRC","B",5,0.55,21.8946973722391,19.7943392282233,24.2352026575944
"DRC","B",5,0.6,23.24456575768,20.902708992149,25.5882070931344
"DRC","B",5,0.65,24.3730472058116,22.1016884879954,26.6385440358464
"DRC","B",5,0.7,25.4141596018041,23.1810135775651,27.9575194774755
"DRC","B",5,0.75,26.4663783898719,24.2397563931893,29.3189740095132
"DRC","B",5,0.8,27.6819781317326,25.3099663579826,30.6587233905124
"DRC","B",5,0.85,28.8333712710165,26.3410202684674,31.7531963438166
"DRC","B",5,0.9,29.8784891822148,27.2538587174629,32.9294632025062
"DRC","B",5,0.95,30.7860785579756,28.2312196594713,34.0123856236926
"DRC","B",5,1,31.8140624818779,29.2697701152989,35.0548857537877
"DRC","B",5,1.05,32.8302554297306,30.1679593034085,35.9747178469573
"DRC","B",5,1.1,33.7018427893145,31.0451176287111,36.9881991098543
"DRC","B",5,1.15,34.6024495982834,31.7665649922082,38.0552006005278
"DRC","B",5,1.2,35.6986977736999,32.4881747164361,38.8655968028954
"DRC","B",5,1.25,36.5087034358739,33.2133531328609,39.7582032971112
"DRC","B",5,1.3,37.3340878678219,33.7906477885699,40.7087276791731
"DRC","B",5,1.35,38.1169991905156,34.4913389262732,41.5979620851463
"DRC","B",5,1.4,39.0275051401177,35.2514891255248,42.2770644080734
"DRC","B",5,1.45,39.8540238521805,36.025728050302,42.8738686867678
"DRC","B",5,1.5,40.5373973022853,36.8059689788926,43.8553735017266
"DRC","B",5,1.55,41.2038980185659,37.4065951391808,44.8595986339263
"DRC","B",5,1.6,41.9262997926585,37.9885529951127,45.642538574339
"DRC","B",5,1.65,42.7715558286168,38.5712225246854,46.3835670665757
"DRC","B",5,1.7,43.4606129127227,39.1786022491819,47.0550598712874
"DRC","B",5,1.75,44.0647702939292,39.8474313808238,47.7002356457309
"DRC","B",5,1.8,44.6118735496797,40.407168485295,48.2069290245362
"DRC","B",5,1.85,45.2317788750042,40.9091351183912,48.8085257887483
"DRC","B",5,1.9,45.8039963087649,41.6117600935787,49.5817328210787
"DRC","B",5,1.95,46.3629245356532,42.0928626383374,50.1034043538233
"DRC","B",5,2,46.7997089341523,42.7132671911691,50.673542374718
"DRC","B",5,2.05,47.4250983029315,43.2522273015097,51.2605516707597
"DRC","B",5,2.1,47.9675742248865,43.7423720014205,51.7534834289357
"DRC","B",5,2.15,48.5956859078982,44.2746716649115,52.0759614449395
"DRC","B",5,2.2,49.2513473697846,44.8231456736529,52.5032514146444
"DRC","B",5,2.25,49.7899645384045,45.3725561563874,52.6889297198212
"DRC","B",5,2.3,50.1848610917652,45.7318717189034,52.8188260600899
"DRC","B",5,2.35,50.5134494235381,46.2378023692825,52.9678182854697
"DRC","B",5,2.4,50.8571189370868,46.9332740854245,53.0919260537842
"DRC","B",5,2.45,51.153155740941,47.437119097936,53.1862476261903
"DRC","B",5,2.5,51.4584338330157,47.9134877157403,53.266024718908
"DRC","B",5,2.55,51.9715949518617,48.2633409709124,53.3076527718103
"DRC","B",5,2.6,52.3129650300978,48.6086309920505,53.3076527718103
