"scenario","particle_id","arm","pct_hcw_deaths_averted","pct_days_lost_averted","n_hcw_deaths","condition"
"DRC",65,"with_conflict_hi",36.7583212735166,36.949005485021,43.7,"baseline"
"DRC",65,"with_conflict_lo",18.5891325071497,26.7139658134758,85.4,"baseline"
"DRC",65,"with_conflict_mid",27.0886075949367,34.5433794544608,57.6,"baseline"
"DRC",66,"with_conflict_hi",24.5934959349593,30.9546137383677,37.1,"baseline"
"DRC",66,"with_conflict_lo",14.4130757800892,18.4021526139841,57.6,"baseline"
"DRC",66,"with_conflict_mid",30.4878048780488,33.1791687942226,39.9,"baseline"
"DRC",67,"with_conflict_hi",33.6263736263736,36.6330432880107,30.2,"baseline"
"DRC",67,"with_conflict_lo",17.7072671443193,20.9863850138508,80.4,"baseline"
"DRC",67,"with_conflict_mid",23.5780765253361,25.4233466901293,73.9,"baseline"
"DRC",68,"with_conflict_hi",35.3174603174603,30.2157041297553,16.3,"baseline"
"DRC",68,"with_conflict_lo",17.1052631578947,23.1947575777754,81.9,"baseline"
"DRC",68,"with_conflict_mid",36.5269461077844,34.6097844125613,31.8,"baseline"
"DRC",69,"with_conflict_hi",30.9041835357625,33.8057468641016,51.2,"baseline"
"DRC",69,"with_conflict_lo",22.5609756097561,18.8821252647935,63.5,"baseline"
"DRC",69,"with_conflict_mid",34.7003154574132,36.1597741215051,20.7,"baseline"
"DRC",70,"with_conflict_hi",24,30.1291444010317,53.2,"baseline"
"DRC",70,"with_conflict_lo",20.2995008319468,23.4298414846198,95.8,"baseline"
"DRC",70,"with_conflict_mid",22.0447284345048,28.0056198833184,73.2,"baseline"
"DRC",71,"with_conflict_hi",26.7391304347826,24.4320890507836,33.7,"baseline"
"DRC",71,"with_conflict_lo",26.5206812652068,27.8565428316249,30.2,"baseline"
"DRC",71,"with_conflict_mid",21.0159362549801,25.6595804862754,79.3,"baseline"
"DRC",72,"with_conflict_hi",33.0365974282888,33.8296919116575,67.7,"baseline"
"DRC",72,"with_conflict_lo",24.9326145552561,23.7325842314205,55.7,"baseline"
"DRC",72,"with_conflict_mid",25.5928045789043,28.5206301017585,91,"baseline"
"DRC",73,"with_conflict_hi",30.1652892561983,30.3681786621832,16.9,"baseline"
"DRC",73,"with_conflict_lo",29.3814432989691,22.5356730655327,13.7,"baseline"
