"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","baseline",50.5,"hcw_deaths_incidence",200,0.1,0.8,1.45,2.1,4.4025,"mean_first",1.3,4.3025
"DRC","baseline",50.5,"infections",200,6.77,30.425,48.35,70.275,139.0225,"mean_first",39.85,132.2525
"DRC","baseline",51.5,"deaths",200,4.9725,20.15,31.9,44.65,84.15,"mean_first",24.5,79.1775
"DRC","baseline",51.5,"hcw_deaths",200,22.38,36.25,50,64.925,95.41,"mean_first",28.675,73.03
"DRC","baseline",51.5,"hcw_deaths_incidence",200,0.1,0.6,1.2,1.925,4.1,"mean_first",1.325,4
"DRC","baseline",51.5,"infections",200,5.8425,28.25,44.85,63.1,125.66,"mean_first",34.85,119.8175
"DRC","baseline",52.5,"deaths",200,3.38,17.925,28.6,39.625,80.1925,"mean_first",21.7,76.8125
"DRC","baseline",52.5,"hcw_deaths",200,23.17,37.1,52.05,67.225,98.525,"mean_first",30.125,75.355
"DRC","baseline",52.5,"hcw_deaths_incidence",200,0.1975,0.675,1.1,1.7,3.7,"mean_first",1.025,3.5025
"DRC","baseline",52.5,"infections",200,3.5875,25.3,40.9,55.85,113.3275,"mean_first",30.55,109.74
"DRC","baseline",53.5,"deaths",200,3.2875,15.875,25.35,36.625,71.85,"mean_first",20.75,68.5625
"DRC","baseline",53.5,"hcw_deaths",200,23.57,38.1,53.15,68.725,101.8325,"mean_first",30.625,78.2625
"DRC","baseline",53.5,"hcw_deaths_incidence",200,0.0975000000000001,0.5,1,1.6,2.9,"mean_first",1.1,2.8025
"DRC","baseline",53.5,"infections",200,3.58,22.9,37.05,49.375,97.05,"mean_first",26.475,93.47
"DRC","baseline",54.5,"deaths",200,1.8,14.475,23.95,33.4,64.4825,"mean_first",18.925,62.6825
"DRC","baseline",54.5,"hcw_deaths",200,23.9675,39.1,53.95,70.1,104.3175,"mean_first",31,80.35
"DRC","baseline",54.5,"hcw_deaths_incidence",200,0,0.475,0.9,1.4,2.705,"mean_first",0.925,2.705
"DRC","baseline",54.5,"infections",200,2.7975,19.475,32.7,45.075,83.0125,"mean_first",25.6,80.215
"DRC","baseline",55.5,"deaths",200,1.3975,13.225,20.8,28.775,53.705,"mean_first",15.55,52.3075
"DRC","baseline",55.5,"hcw_deaths",200,24.3575,40.05,54.6,71.425,106.1075,"mean_first",31.375,81.75
"DRC","baseline",55.5,"hcw_deaths_incidence",200,0,0.5,0.8,1.2,2.2,"mean_first",0.7,2.2
"DRC","baseline",55.5,"infections",200,2.9975,16.55,28.4,40.675,76.755,"mean_first",24.125,73.7575
"DRC","baseline",56.5,"deaths",200,1.5975,11.1,18,25.175,46.0725,"mean_first",14.075,44.475
"DRC","baseline",56.5,"hcw_deaths",200,24.455,40.95,55.45,72.35,107.4075,"mean_first",31.4,82.9525
"DRC","baseline",56.5,"hcw_deaths_incidence",200,0,0.4,0.6,1.125,1.905,"mean_first",0.725,1.905
"DRC","baseline",56.5,"infections",200,2.19,14.825,24.85,35.925,69.3825,"mean_first",21.1,67.1925
"DRC","baseline",57.5,"deaths",200,1.295,9.5,15.7,22.125,43.1175,"mean_first",12.625,41.8225
"DRC","baseline",57.5,"hcw_deaths",200,24.46,41.4,56.15,73.15,108.125,"mean_first",31.75,83.665
"DRC","baseline",57.5,"hcw_deaths_incidence",200,0,0.3,0.6,0.9,2,"mean_first",0.6,2
"DRC","baseline",57.5,"infections",200,1.6875,12.4,22.05,32.625,64.8975,"mean_first",20.225,63.21
"DRC","baseline",58.5,"deaths",200,1.4975,8.2,14.3,20.525,39.735,"mean_first",12.325,38.2375
"DRC","baseline",58.5,"hcw_deaths",200,24.665,41.625,56.45,74,109.415,"mean_first",32.375,84.75
"DRC","baseline",58.5,"hcw_deaths_incidence",200,0,0.3,0.6,0.925,2.0025,"mean_first",0.625,2.0025
"DRC","baseline",58.5,"infections",200,1.8725,10.375,20.9,31.25,65.105,"mean_first",20.875,63.2325
"DRC","baseline",59.5,"deaths",200,0.8,7.6,12.7,19.125,37.64,"mean_first",11.525,36.84
"DRC","baseline",59.5,"hcw_deaths",200,24.6875,41.725,56.55,74.75,110.3175,"mean_first",33.025,85.63
"DRC","baseline",59.5,"hcw_deaths_incidence",200,0,0.3,0.5,0.9,1.805,"mean_first",0.6,1.805
"DRC","baseline",59.5,"infections",200,0.5,9.975,19.5,30.15,60.2975,"mean_first",20.175,59.7975
