"scenario","particle_id","eff_name","efficacy","doses_B","n_prevented_hcw","ppe_efficacy","averted","base_pool","dda_B","dda_A","scenario_label"
"DRC",25,"obv_40",0.4,91.1,37,0.352938225650796,14.8,140.790267036908,123.108108108108,190.257117617443,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_50",0.5,123.2,63.5,0.352938225650796,31.75,190.399131711823,77.6062992125984,119.936460920833,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_60",0.6,147.9,89,0.352938225650796,53.4,228.571684904047,55.3932584269663,85.6073726232387,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_70",0.7,103,71,0.352938225650796,49.7,159.181092259073,41.4486921529175,64.0567775690434,"DRC (Middle, PlusPlus)"
"DRC",25,"obv_80",0.8,153.4,123.2,0.352938225650796,98.56,237.071646141182,31.1282467532468,48.1070710513763,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_20",0.2,102,23,0.848796901199967,4.6,674.589349090627,443.478260869565,2932.99716995925,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_30",0.3,193,60,0.848796901199967,18,1276.42886641658,214.444444444444,1418.25429601842,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_40",0.4,185,75,0.848796901199967,30,1223.51989786045,123.333333333333,815.679931906967,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_50",0.5,38,15,0.848796901199967,7.5,251.317600641606,101.333333333333,670.180268377616,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_60",0.6,10,7,0.848796901199967,4.2,66.1362106951595,47.6190476190476,314.934336643617,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_70",0.7,147,109,0.848796901199967,76.3,972.202297218844,38.5321100917431,254.83677515566,"DRC (Middle, PlusPlus)"
"DRC",26,"obv_80",0.8,395,310,0.848796901199967,248,2612.3803224588,31.8548387096774,210.675832456355,"DRC (Middle, PlusPlus)"
"DRC",27,"obv_20",0.2,32,9,0.504399099102755,1.8,64.5680827901374,355.555555555556,717.423142112638,"DRC (Middle, PlusPlus)"
"DRC",27,"obv_30",0.3,19,9,0.504399099102755,2.7,38.3372991566441,140.740740740741,283.979993752919,"DRC (Middle, PlusPlus)"
"DRC",27,"obv_40",0.4,69,27,0.504399099102755,10.8,139.224928516234,127.777777777778,257.823941696729,"DRC (Middle, PlusPlus)"
