"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost"
"DRC",97,2,"obv_60",47,26152.7531250677,99,52,62889.1465801544
"DRC",97,3,"obv_60",105,24671.1222038433,240,135,64139.7442308049
"DRC",97,4,"obv_60",0,115.103536352812,0,0,239.133409934317
"DRC",97,5,"obv_60",24,8097.68005359901,51,27,22184.8079286844
"DRC",97,6,"obv_60",66,28774.9306366232,167,101,82098.2382664225
"DRC",97,7,"obv_60",18,11380.0316959388,65,47,36524.8053563345
"DRC",97,8,"obv_60",0,0,5,5,934.337089427651
"DRC",97,9,"obv_60",2,1125.34107302893,13,11,3011.35479618762
"DRC",97,10,"obv_60",4,475.958342483961,9,5,1071.55212339994
"DRC",98,1,"obv_60",86,26110.8528648275,222,136,65093.4149881299
"DRC",98,2,"obv_60",7,1204.69335478092,16,9,2198.14034122819
"DRC",98,3,"obv_60",39,17311.6045120082,114,75,51078.5619301215
"DRC",98,4,"obv_60",74,46235.1360152283,175,101,118868.373586103
"DRC",98,5,"obv_60",70,16517.0667343728,175,105,40377.071378987
"DRC",98,6,"obv_60",7,1261.75122303141,18,11,3405.81356706771
"DRC",98,7,"obv_60",7,1261.75122303141,18,11,3405.81356706771
"DRC",98,8,"obv_60",3,504.046233819972,11,8,1472.83514827839
