"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",0,25000,198.445031327352,113.220712894236,280.375656294454,40.0117525686524,22.4596268302964,82.3423366503537,1.08648434253768
"WestAfrica","A",0,26000,202.150436476618,116.926118043502,285.933764018353,41.8331304440654,23.4035817040902,82.3423366503537,1.12994371623919
"WestAfrica","A",0,27000,209.149535091898,120.013955667891,295.814844416396,43.1665975885662,24.0888386737317,82.3423366503537,1.17340308994069
"WestAfrica","A",0,28000,216.148633707178,123.101793292279,306.519348180942,44.6591960524719,24.9047684961701,82.3423366503537,1.2168624636422
"WestAfrica","A",0,29000,223.55944400571,123.719360817156,316.194572737358,46.1284028165663,25.7501421499373,82.3423366503537,1.26032183734371
"WestAfrica","A",0,30000,225.206290738717,124.131072500408,322.781959669387,47.3317371138844,26.6196564344847,82.3423366503537,1.30378121104522
"WestAfrica","A",0,31000,230.146830937739,126.395486758293,329.163490759789,48.7359775099194,27.4785427402476,82.3423366503537,1.34724058474672
"WestAfrica","A",0,32000,233.028812720501,130.100891907559,341.926552940594,50.4015713190953,28.3711389556725,82.3423366503537,1.39069995844823
"WestAfrica","A",0,33000,237.969352919522,134.012152898451,354.895470963024,51.8694512460015,29.2502882837636,82.3423366503537,1.43415933214974
"WestAfrica","A",0,34000,243.321604801795,137.099990522839,360.659434528549,53.4658797898822,30.0266988005873,82.3423366503537,1.47761870585124
"WestAfrica","A",0,35000,246.203586584558,139.57026062235,368.276100668707,54.826061036652,30.9464853155389,82.3423366503537,1.52107807955275
"WestAfrica","A",0,36000,249.08556836732,144.716656662997,377.951325225124,56.4384739721245,31.7625183570683,82.3423366503537,1.56453745325426
"WestAfrica","A",0,37000,255.672955299348,146.775215079255,384.538712157152,57.9531346273674,32.5060456606445,82.3423366503537,1.60799682695577
"WestAfrica","A",0,38000,259.790072131866,148.010350129011,393.802225030317,59.285314052723,33.3278664145726,82.3423366503537,1.65145620065727
"WestAfrica","A",0,39000,265.554035697391,148.627917653888,404.506728794863,60.5424595055943,34.0379718958529,82.3423366503537,1.69491557435878
"WestAfrica","A",0,40000,272.553134312671,152.333322803154,412.12339493502,62.149582233683,34.8818873558052,82.3423366503537,1.73837494806029
"WestAfrica","A",0,41000,279.963944611203,155.215304585917,420.975196124933,63.6054517382295,35.6580818231763,82.3423366503537,1.78183432176179
"WestAfrica","A",0,42000,284.08106144372,156.244583794046,428.591862265091,65.280607217929,36.6069832937098,82.3423366503537,1.8252936954633
"WestAfrica","A",0,43000,287.374754909734,158.920709735183,439.090510188011,67.0083436717852,37.4352070053011,82.3423366503537,1.86875306916481
"WestAfrica","A",0,44000,293.962141841763,161.390979834693,448.14816721955,68.7886610997982,38.3659685937614,82.3423366503537,1.91221244286632
"WestAfrica","A",0,45000,300.549528773791,161.390979834693,456.999968409463,70.38697475904,39.0953899461415,82.3423366503537,1.95567181656782
"WestAfrica","A",0,46000,304.254933923057,161.390979834693,460.911229400355,71.7280267930476,39.7362476626244,82.3423366503537,1.99913119026933
"WestAfrica","A",0,47000,308.783762438826,161.390979834693,468.733751382139,72.9402828508605,40.5815218772587,82.3423366503537,2.04259056397084
"WestAfrica","A",0,48000,312.489167588092,161.390979834693,475.732849997419,74.33432223149,41.5104875327236,82.3423366503537,2.08604993767235
"WestAfrica","A",0,49000,314.136014321099,161.596835676319,483.967083662454,75.9509084679313,42.4178040231306,82.3423366503537,2.12950931137385
"WestAfrica","A",0,50000,317.017996103862,162.831970726074,491.17203811936,77.6069246938477,43.3340995956731,82.3423366503537,2.17296868507536
