"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","obv",0.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","obv",0.5,"infections",31.1875,32.7,33.8,35.1,37.8125
"DRC","obv",1.5,"deaths",3.4,4.2,4.6,5,6.0125
"DRC","obv",1.5,"hcw_deaths",0,0,0,0,0
"DRC","obv",1.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","obv",1.5,"infections",14.3,18.175,21.3,23.725,29.15
"DRC","obv",2.5,"deaths",9.9,11.3,12.05,12.8,14
"DRC","obv",2.5,"hcw_deaths",0,0,0,0,0.1
"DRC","obv",2.5,"hcw_deaths_incidence",0,0,0,0,0.1
"DRC","obv",2.5,"infections",20.2,25.6,28.5,32.325,39.2875
"DRC","obv",3.5,"deaths",9.6875,12.2,13.1,14.5,17.1
"DRC","obv",3.5,"hcw_deaths",0,0,0,0,0.1
"DRC","obv",3.5,"hcw_deaths_incidence",0,0,0,0,0.1
"DRC","obv",3.5,"infections",22.3,29.475,33.05,37.925,46.9625
"DRC","obv",4.5,"deaths",11.25,14.4,16.2,18,21.9125
"DRC","obv",4.5,"hcw_deaths",0,0,0,0.1,0.3
"DRC","obv",4.5,"hcw_deaths_incidence",0,0,0,0.1,0.3
"DRC","obv",4.5,"infections",25.0125,33.9,38.95,43.65,55.3625
"DRC","obv",5.5,"deaths",12.5,16.975,19.1,22.025,27.6
"DRC","obv",5.5,"hcw_deaths",0,0,0.1,0.2,0.4125
"DRC","obv",5.5,"hcw_deaths_incidence",0,0,0.1,0.1,0.3
