"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",120,"with_conflict_mid",130,77776.4101129603,62,192,105177.858728714,32.2916666666667,26.0524876118939
"DRC",121,"cov_conflict_hi",58.7,261252.765160367,209,796,369048.880323585,26.2562814070352,29.2091700884451
"DRC",121,"cov_conflict_lo",54,332229.081811309,209,749,468112.079107169,27.9038718291055,29.0278767330742
"DRC",121,"cov_conflict_mid",50.3,298750.643496547,259,762,433749.641474732,33.989501312336,31.1237140206487
"DRC",121,"dpc_conflict_hi",20,85132.9203708813,201,401,167263.835991936,50.1246882793017,49.1026139236783
"DRC",121,"dpc_conflict_lo",29.4,177855.328538367,285,579,341499.578346146,49.2227979274611,47.9193124045116
"DRC",121,"dpc_conflict_mid",21.5,127010.424352356,260,475,262968.321927965,54.7368421052632,51.7012454499567
"DRC",121,"no_pep",54.3,269979.448037151,0,543,269979.448037151,0,0
"DRC",121,"optimistic_hi",9.5,45073.4789734299,540,635,286478.173383403,85.0393700787402,84.2663479590445
"DRC",121,"optimistic_lo",6.8,22760.708117507,279,347,119977.801720347,80.4034582132565,81.0292339156545
"DRC",121,"optimistic_mid",9.5,40108.2835575303,435,530,232847.416439638,82.0754716981132,82.7748642562553
"DRC",121,"with_conflict_hi",57.8,261489.745322029,257,835,399992.388456112,30.7784431137725,34.6263196829006
"DRC",121,"with_conflict_lo",34.7,226173.075304197,143,490,317208.715734677,29.1836734693878,28.6989719748513
"DRC",121,"with_conflict_mid",59.1,261787.366994407,201,792,360511.836328682,25.3787878787879,27.3845292680674
"DRC",122,"cov_conflict_hi",144,29495.6142358706,30,174,40944.3274999935,17.2413793103448,27.9616590701721
"DRC",122,"cov_conflict_lo",8,4237.25252767411,4,12,6011.61298513332,33.3333333333333,29.5155470228571
"DRC",122,"cov_conflict_mid",51,22777.7361305513,20,71,35119.4998031828,28.169014084507,35.1421966195345
"DRC",122,"dpc_conflict_hi",9,1754.45195338859,7,16,2491.88396251717,43.75,29.5933526689447
"DRC",122,"dpc_conflict_lo",69,59972.5097122358,109,178,128631.000997417,61.2359550561798,53.376317336254
"DRC",122,"dpc_conflict_mid",69,36359.6028519314,120,189,95325.2563742828,63.4920634920635,61.8573248739349
"DRC",122,"no_pep",69,312469.727659988,0,690,312469.727659988,0,0
"DRC",122,"optimistic_hi",0,0,11,11,1104.90805795681,100,100
"DRC",122,"optimistic_lo",1,216.735807631948,9,10,1176.70927260115,90,81.5811931903241
