"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","optimistic_hi",0.5,"hcw_deaths",0,0,0,0,0
"DRC","optimistic_hi",0.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","optimistic_hi",0.5,"infections",27,30,34,37,47.025
"DRC","optimistic_hi",1.5,"deaths",1,3,5,6,9
"DRC","optimistic_hi",1.5,"hcw_deaths",0,0,0,0,0
"DRC","optimistic_hi",1.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","optimistic_hi",1.5,"infections",4.95,14,20,30,44
"DRC","optimistic_hi",2.5,"deaths",6,10,12,15,19.025
"DRC","optimistic_hi",2.5,"hcw_deaths",0,0,0,0,0
"DRC","optimistic_hi",2.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","optimistic_hi",2.5,"infections",7,20,26,36.25,64.075
"DRC","optimistic_hi",3.5,"deaths",5,9,13,17,25
"DRC","optimistic_hi",3.5,"hcw_deaths",0,0,0,0,0
"DRC","optimistic_hi",3.5,"hcw_deaths_incidence",0,0,0,0,0
"DRC","optimistic_hi",3.5,"infections",7.95,20,29,44,71
"DRC","optimistic_hi",4.5,"deaths",3.975,9,15,22,33
"DRC","optimistic_hi",4.5,"hcw_deaths",0,0,0,0,1
"DRC","optimistic_hi",4.5,"hcw_deaths_incidence",0,0,0,0,0.0250000000000057
"DRC","optimistic_hi",4.5,"infections",6,21.75,36.5,50,87.15
"DRC","optimistic_hi",5.5,"deaths",4,12,17,25.25,43.1
"DRC","optimistic_hi",5.5,"hcw_deaths",0,0,0,0,1
"DRC","optimistic_hi",5.5,"hcw_deaths_incidence",0,0,0,0,1
"DRC","optimistic_hi",5.5,"infections",7,24,37.5,58,113.3
"DRC","optimistic_hi",6.5,"deaths",3.975,14,21,28.25,55.025
"DRC","optimistic_hi",6.5,"hcw_deaths",0,0,0,0,2
"DRC","optimistic_hi",6.5,"hcw_deaths_incidence",0,0,0,0,1
"DRC","optimistic_hi",6.5,"infections",8,26,45.5,62.25,140.175
"DRC","optimistic_hi",7.5,"deaths",4,15,23,35,63.075
"DRC","optimistic_hi",7.5,"hcw_deaths",0,0,0,1,2
"DRC","optimistic_hi",7.5,"hcw_deaths_incidence",0,0,0,0,1
"DRC","optimistic_hi",7.5,"infections",7.95,29,52,78.25,185.15
"DRC","optimistic_hi",8.5,"deaths",5,16.75,27,36,83.05
"DRC","optimistic_hi",8.5,"hcw_deaths",0,0,0,1,2
"DRC","optimistic_hi",8.5,"hcw_deaths_incidence",0,0,0,0,1
"DRC","optimistic_hi",8.5,"infections",9,33,58,92.25,198.35
"DRC","optimistic_hi",9.5,"deaths",5,17.75,30,44.25,96.4500000000001
"DRC","optimistic_hi",9.5,"hcw_deaths",0,0,0,1,3
"DRC","optimistic_hi",9.5,"hcw_deaths_incidence",0,0,0,0,1
