"scenario","particle_id","ppe_efficacy"
"WestAfrica",141,0.640236451671484
"WestAfrica",142,0.47676052771587
"WestAfrica",143,0.47676052771587
"WestAfrica",144,0.405425560633559
"WestAfrica",145,0.770884628519022
"WestAfrica",146,0.329870269054244
"WestAfrica",147,0.845213688767807
"WestAfrica",148,0.512983379692487
"WestAfrica",149,0.738393198783055
"WestAfrica",150,0.563214170524179
"WestAfrica",151,0.347272963924497
"WestAfrica",152,0.429933423794854
"WestAfrica",153,0.397071442403843
"WestAfrica",154,0.311666396873657
"WestAfrica",155,0.556463107629107
"WestAfrica",156,0.731261740150947
"WestAfrica",157,0.838829743951238
"WestAfrica",158,0.646811043568257
"WestAfrica",159,0.429933423794854
"WestAfrica",160,0.397071442403843
"WestAfrica",161,0.782701714920354
"WestAfrica",162,0.422628725429363
"WestAfrica",163,0.311666396873657
"WestAfrica",164,0.552615463687107
"WestAfrica",165,0.626240684185177
"WestAfrica",166,0.405992023127032
"WestAfrica",167,0.328798621633048
"WestAfrica",168,0.782701714920354
"WestAfrica",169,0.658184789880188
"WestAfrica",170,0.51114267595557
"WestAfrica",171,0.896422381644977
"WestAfrica",172,0.875507370460198
"WestAfrica",173,0.401971134911137
"WestAfrica",174,0.649788153441682
"WestAfrica",175,0.799225718358976
"WestAfrica",176,0.422628725429363
"WestAfrica",177,0.720209746629085
"WestAfrica",178,0.40279888063299
"WestAfrica",179,0.597812313960528
"WestAfrica",180,0.788622518598653
"WestAfrica",181,0.871716493845209
"WestAfrica",182,0.474135580100934
"WestAfrica",183,0.434787779869952
"WestAfrica",184,0.573280883203736
"WestAfrica",185,0.598649901526382
"WestAfrica",186,0.838829743951238
"WestAfrica",187,0.510325501500927
"WestAfrica",188,0.668356017326857
"WestAfrica",189,0.588344991859049
"WestAfrica",190,0.845558444832553
"WestAfrica",191,0.556463107629107
"WestAfrica",192,0.472273695134612
"WestAfrica",193,0.370206635888967
"WestAfrica",194,0.494075235491619
