"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","coverage_name","eff_name","arm_label","coverage_label","scenario_label"
"DRC",9,"ramp_high__obv_60",42.7,206950.917303784,258,685,306506.277676905,37.6642335766423,32.4806921175248,"ramp_high","obv_60","60%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_high__obv_70",34,134867.883619179,230,570,215045.633480605,40.3508771929825,37.2840631840393,"ramp_high","obv_70","70%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_high__obv_80",32.6,158422.113839142,423,749,329256.42416747,56.475300400534,51.8848829632663,"ramp_high","obv_80","80%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_high__obv_90",18.5,56160.2338935229,200,385,110177.749651868,51.9480519480519,49.0276085044628,"ramp_high","obv_90","90%","Ramp high (0%->80%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_low__obv_50",27.2,67804.1890605873,28,300,72273.0184380508,9.33333333333333,6.18326102056182,"ramp_low","obv_50","50%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_low__obv_60",51.8,232851.263733545,86,604,266050.152571326,14.2384105960265,12.4784325499985,"ramp_low","obv_60","60%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_low__obv_70",34.3,146003.489398672,58,401,165897.514847661,14.4638403990025,11.9917561557549,"ramp_low","obv_70","70%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_low__obv_80",32.4,199935.830418039,93,417,251562.378546947,22.3021582733813,20.5223644438046,"ramp_low","obv_80","80%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",9,"ramp_low__obv_90",40.4,200714.739659088,141,545,256633.393927111,25.8715596330275,21.7893133127894,"ramp_low","obv_90","90%","Ramp low (0%->50%)","DRC (Middle, PlusPlus)"
"DRC",10,"full__obv_50",19.9,40683.845098978,183,382,82013.672531033,47.9057591623037,50.3938260006785,"full","obv_50","50%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",10,"full__obv_60",27.6,143699.156029374,428,704,362397.036508235,60.7954545454545,60.3475907491014,"full","obv_60","60%","Full (100%)","DRC (Middle, PlusPlus)"
"DRC",10,"full__obv_70",20.6,90016.7562715545,478,684,288048.951951668,69.8830409356725,68.7494935629349,"full","obv_70","70%","Full (100%)","DRC (Middle, PlusPlus)"
