"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi"
"DRC","A",0,5960,25.5261243616097,10.704503764546,51.0522487232193
"DRC","A",0,5980,25.5261243616097,10.704503764546,51.0522487232193
"DRC","A",0,6000,25.5261243616097,10.704503764546,51.0522487232193
"DRC","A",0,6020,25.5261243616097,10.704503764546,51.0522487232193
"DRC","A",0,6040,25.5261243616097,10.704503764546,51.2581045648452
"DRC","A",0,6060,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6080,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6100,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6120,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6140,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6160,25.5261243616097,10.704503764546,51.8756720897228
"DRC","A",0,6180,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6200,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6220,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6240,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6260,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6280,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6300,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6320,25.5261243616097,10.704503764546,52.6990954562264
"DRC","A",0,6340,25.9378360448614,10.704503764546,52.9049512978523
"DRC","A",0,6360,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6380,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6400,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6420,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6440,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6460,26.3495477281132,10.704503764546,53.5225188227299
"DRC","A",0,6480,26.3495477281132,10.704503764546,54.3459421892334
"DRC","A",0,6500,26.3495477281132,10.704503764546,54.3459421892334
"DRC","A",0,6520,26.3495477281132,10.704503764546,54.3459421892334
"DRC","A",0,6540,26.3495477281132,10.704503764546,54.3459421892334
"DRC","A",0,6560,26.3495477281132,10.704503764546,54.3459421892334
